"","X","x"
"16","16","【谷歌眼镜现身美国ebay 竞标价约合94800元】搜索巨头谷歌的硬件设备google glass能让你拍照片、录视频，并能查看信息。如果你想要一个，要不就成为它的开发者；要不就参加谷歌正在举办的一个活动，你得说明一下你会拿glass做什么，然后加上“#ifihadglass”标签发在google+或twitter上。"
"17","17","【ebay第二财季财报：净利降8% 盘后股价重挫6% 】ebay(ebay)2013财年第二季度净营收为38.77亿美元，同比增长14%；净利润为6.40亿美元，比去年同期的6.92亿美元下滑8%。盘后，ebay(ebay)股价重挫5.96%至53.96美元。 zqgmxyi 股价实时行情zwzr2v9"
"18","18","就算我这位消费很理性的人，也禁不住 海淘 带来的巨大吸引力。ebay, amiami,amazon jap , amazon usa.都揣口袋里的感觉多棒。"
"19","19","闲着没事干去ebay查v3，发现好多都是卖二手的，看到有一家店一次性卖8台v3，高潮是有一台机子后盖是china mibile，第二台。。。。。。。。。"
"20","20","【ebay总裁多纳霍：我们绝不会成为零售商】消费者想要一种无缝的体验。不管你是哪种规模的零售商或商家，都必须解决这个问题。零售商寻求的是技术合作伙伴，目的是获得支付服务和电商服务。我们绝不会与它们进行竞争。事实上，我们已经成为一个不同于零售商的技术平台。 http://t.cn/zqod4vd (腾讯)"
"21","21","@孙毛毛毛 这个真的还不错 可是ebay买来不及 这几天就要用 ..."
"22","22","#美国赞恩国际律师事务所# 美国移民开办高技术公司和研发尖端技术，据nvca统计，由移民创办的上市公司中有25%得到风险投资支持，其中包括google、ebay、yahoo！、intel和sun microsystems等着名公司。www.uszane.com"
"23","23","搞错了，是ebay的 //@李子骞:这是amazon？"
"24","24","水舞间 表演 超赞真功夫，值得一看。据说准备从澳门迁移上海表演@大熊家de季小妞 @上淘宝就上ebay金钻店"
"25","25","那个狗牌真心给跪，超级想要，但是从ebay上直接买的话，邮费加关税能再买三套了……"
"26","26","【全球两台 世嘉未问世主机“冥王星”10万天价售出】ebay上一位id名为kidvid666的卖家，日前以15500美元（约合95267元人民币）的高价卖出了以前在跳蚤市场以“1美元”购入、全世界仅有2台的sega未发售梦幻主机“冥王星(pluto)”的原型机。"
"27","27","【谷歌眼镜现身美国ebay 竞标价约合94800元】搜索巨头谷歌的硬件设备google glass能让你拍照片、录视频，并能查看信息。如果你想要一个，要不就成为它的开发者；要不就参加谷歌正在举办的一个活动，你得说明一下你会拿glass做什么，然后加上“#ifihadglass”标签发在google+或twitter上。"
"28","28","tb没有啊orz谁有ebay号求代购qaq //@兰塞_铃兰先生: 啊啊啊啊啊啊帅裂！！！！好想要啊嘤嘤嘤//@米需说着射了出来:………………哭了//@大柜777:好棒！！！我也要入！！"
"29","29","澳男子在ebay上拍卖自己岳母 叫价56澳元——分享自环球网@环球网 http://t.cn/zqjvafu"
"30","30","转战ebay,我就不行搞不到一个正品~~//@angela抱抱: 今天到了6个，出了一个正品周五前应该还有20个，所有卖盗版货淘宝卖家我要一个一个搞残他们"
"31","31","paypal在英国测试“人脸识别”支付系统，全球最大的网上支付公司、ebay旗下paypal宣布，日前其在英国伦敦泰晤士河畔的里士满区的12家商场推出依靠“人脸识别”的支付系统。http://t.cn/zqw93cj"
"32","32","【ebay推出“如期递送”服务：用户可选择收货时间】当地时间本周四，ebay宣布，将为ebay now运送服务添加“如期递送”（scheduled deliveries）功能，并为零售商带来了一个新平台。ebay零售创新负责人表示，公司正帮助商家们与电子商务世界的“革命”竞争。http://t.cn/zql2a60"
"33","33","国内的话是聊天室跟网易泡泡吧，聊天室交的网友都留邮箱，不过十几年前我只有跟ebay卖家联系才用邮箱。//@怪叔叔叔叔叔: 和右边的经历相同，那时候的聊天室超级干净啊，有点怀念。//@宋荔枝: 注册过icq和ticq，qq那时也不叫qq，而是oicq。依稀仿佛那时流行的好像是bbs聊天室，没有视频也没有语音。"
"34","34","【硅谷精英们即将实现政治梦想？】8月5日，全球最大在线零售商亚马逊创始人贝佐斯出资2.5亿美元收购美国三大报之一的《华盛顿邮报》。这是硅谷向华盛顿进军的一个新胜利。数据显示：硅谷最大的公司用于在华盛顿进行游说的支出连续两年大幅提高，包括谷歌，ebay，苹果，微软，甲骨文，ibm#新刊速览#"
"35","35","#ebay趣闻#周末到了，换一下平日的妆容，选择一只新的唇膏或者一只新的眼线笔，改变一下自己吧~学学生活大爆炸里面的penny，和闺蜜一起替对方化化妆是一个不错的选择哦，因为她总是能够发现你的美丽的另一面！好的妆容少不了好的化妆品，和闺蜜一起先选购一些ebay上的明星化妆产品吧~~"
"36","36","【全球两台 世嘉未问世主机“冥王星”10万天价售出】ebay上一位id名为kidvid666的卖家，日前以15500美元（约合95267元人民币）的高价卖出了以前在跳蚤市场以“1美元”购入、全世界仅有2台的sega未发售梦幻主机“冥王星(pluto)”的原型机。"
"37","37","一位熟客姐姐帮我查到lkb在ebay上的销售说明，很明显能看到里外全皮的表述，我之前说谁帮我找到就送谁一双平根，绝不会食言的。因为很熟就不圈拉，好顾客值得优待，值得成为朋友。"
"38","38","回复@slutpop:还有usdj也是厚盒或者商单那种薄盒 还有很多地方的纸卡也是宣传单惹 //@slutpop:回复@a狸x-leopardos:→_→我说的是大部分惹 //@roar-佩狸狸:这又不是爱尔兰版 //@a狸x-leopardos: 有的宣传碟是厚盒的没有封底 只有一张封面 当初ebay上有好多狸碟就是厚盒没封底 一般都是爱尔兰宣传碟"
"39","39","【全球限量26台的梅赛德斯奔驰clk gtr在美国ebay销售】里程数仅有70英里，售价199.598万美元，折合人民币1232万，世间罕见，国内的汽车收藏家们，该行动了。"
"40","40","【微软被曝曾考虑推电商服务挑战亚马逊和ebay】6月21日讯，微软曾计划使电子商务市场成为windows操作系统，以及包括xbox游戏机、运行windows的智能手机和平板电脑的一部分。但微软最近表示已经中止了推出电子商务服务的努力。"
"41","41","#昨夜今晨#伯南克表示央行的购买资产计划并无既定的路线，退出与否、何时退出都要依据经济数据而定。标普涨0.28%，欧股收高0.6%。原油上涨0.5%报106.48美元，黄金下跌1%报1277.50美元。特斯拉股价大涨10%，研究机构称其股价能翻番。ebay第二财季净利降8%，盘后股价重挫6%。英特尔二季度净利下滑29%"
"42","42","这又不是爱尔兰版//@a狸x-leopardos: 有的宣传碟是厚盒的没有封底 只有一张封面 当初ebay上有好多狸碟就是厚盒没封底 一般都是爱尔兰宣传碟//@slutpop: 宣传碟好薄，只有一张破纸 //@roar-佩狸狸:碟盒也不一样 直接是封面跟碟 //@roar-佩狸狸: 宣传碟直接一个大白面黑字或者手写"
"43","43","有的宣传碟是厚盒的没有封底 只有一张封面 当初ebay上有好多狸碟就是厚盒没封底 一般都是爱尔兰宣传碟//@slutpop: 宣传碟好薄，只有一张破纸 //@roar-佩狸狸:碟盒也不一样 直接是封面跟碟 //@roar-佩狸狸: 宣传碟直接一个大白面黑字或者手写//@a狸x-leopardos: 碟面不可能是这样 这个肯定是宣传碟吧"
"44","44","ebay上的東西誰說便宜的"
"45","45","ebay上卖以前的小电脑，刚放上去一天就有人买了，是一位父亲想买来送给自己在nigeria服兵役的儿子当生日礼物，让我计算好价格发给他，字里行间让我看的真是感动。"
"46","46","前几天接到ebay客服打来的电话提醒我如无疑问请确认之前拍下的相机。这个保障不由得啧啧啧。卖家说是她祖母的遗物，够不孝啊。。相机+镜头+2x镜+极骚背带=25刀，不思议啊。联邦快递也暴力，好在ms. michele够贴心的配了块uv，不然镜头不保了都，可uv框凹了摘不下，求解决。"
"47","47","【苹果在ebay上开设首家翻新产品零售店】11月20日讯，当前，该零售店内共有23款产品在售，包括15款ipad、6款macbook和2款ipod，产品售价与苹果官网上翻新产品零售店内的产品售价相同，而且还包括一年的质保、新电池、线缆和质检书等。"
"48","48","life ball——每年一度在维也纳举行的life ball（生命舞会）是欧洲针对艾滋病的最大慈善活动。mini从世纪之初就坚持参与其中，每年与知名品牌、设计师合作推出一款特别车型，在ebay上进行义卖。这些每辆都独一无二的艺术mini也成为mini个性化改装、涂装中的经典之作。"
"49","49","【谷歌眼镜现身ebay 竞价超过人民币56.7万元】你既不是谷歌眼镜的开发者，也不是谷歌 #ifihadglass活动中的赢家，所以你只能等待谷歌眼镜的正式发布了，对不对？也许还有其他办法哦。如果你有钱，你就可以在ebay网站上买下这件眼镜了，虽然现在这件眼镜的竞价已超过90，000美元（约人民币56.7万元）。"
"50","50","个人选择权得到极大尊重：anytime（任何时间）、anywhere（任何地点）、anyway（任何方式）三个any赋予互联网新的定义，人们希望能够在任何时间、任何地点以任何方式办公、消费或娱 乐，用户行为发生了深刻的变革。//【移动变革商业：ebay投资研究报告】  http://t.cn/zqjz6nk ( 分享自 @鲜果联播 )"
"51","51","fr大神据说要在ebay开卖修罗王了……9.5英寸高"
"52","52","【第三方支付将添外资新丁 ebay难成第一家】7月1日讯，内有商业银行，外有支付公司获牌在即，第三方支付公司将面临更多挑战。据接近监管层人士透露，央行将在“不久后公布获得支付业务许可证的外资公司，最快会在7月内”，但有望拔得头筹的应该不是近期备受关注的ebay。"
"53","53","just sold my laptop 650$ on ebay paypal charge 20$ and ebay charge 65$ wtf why you charge me so much money@ebay  我在:ashley river rd"
"54","54","ebay总裁多纳霍：我们绝不会成为零售商 http://t.cn/zqjhwmm"
"55","55","【paypal在英国测试“人脸识别”支付系统】全球最大的网上支付公司、ebay旗下paypal宣布，日前其在英国伦敦泰晤士河畔的里士满区的12家商场推出依靠“人脸识别”的支付系统。”　　尽管当前只有十多家零售商正在使用这一测试服务，但paypal （分享自 @凤凰科技） http://t.cn/zqjpgbs"
"56","56","@李晨曦太多了 辛苦了多久终于收起了，光我手里还剩这么多，ebay售起，求好运 我在:douglas drive"
"57","57","【youtube创始人陈士骏：要过有趣的人生】2005年，陈士骏想从ebay出来做点什么，就去刚刚创建的facebook面试，没找到太多感觉。他满脑子创业想法，而正好他在paypal多年的同事查德一家从西雅图搬回硅谷，查德给他打电话，“嘿，不想做点事吗?”一个工程师和一个设计师，一拍即合。"
"58","58","【youtube创始人陈士骏：要过有趣的人生】2005年，陈士骏想从ebay出来做点什么，就去刚刚创建的facebook面试，没找到太多感觉。他满脑子创业想法，而正好他在paypal多年的同事查德一家从西雅图搬回硅谷，查德给他打电话，“嘿，不想做点事吗?”一个工程师和一个设计师，一拍即合。"
"59","59","bcbgmaxazria amber long dress ebay retail price around $110"
"60","60","ebay上买了一个佳能的55-250的长焦，加上原来的18-55套头和50/1.8的痰盂头，终于凑齐了穷人三宝。"
"61","61","【谷歌眼镜现身ebay 竞价超过人民币56.7万元】你既不是谷歌眼镜的开发者，也不是谷歌 #ifihadglass活动中的赢家，所以你只能等待谷歌眼镜的正式发布了，对不对？也许还有其他办法哦。如果你有钱，你就可以在ebay网站上买下这件眼镜了，虽然现在这件眼镜的竞价已超过90，000美元（约人民币56.7万元）。"
"62","62","【天价改装458italia流拍 轮圈价值百万美金】迈阿密改装品牌latitude wheels的一台改装法拉利458 italia几周前被放到ebay拍卖，拍价近130万美元。而一台原厂458售价不过23万美金而已。latitude称将车拍到如此高价是因此车轮圈就价值100万美元，但还是最终流拍了。"
"63","63","到处找不到帮羽毛球拍拉线的地方，看来羽毛球在这真是边缘运动。ebay上有拉线的工具，最便宜的近200刀，好的400多刀，想想有必要吗？"
"64","64","【美国29岁男子出售游戏商店 标价350万美元】一位居住在佛罗里达的男子在ebay上为自己所拥有的三家游戏商店以及房屋，汽车和收藏品的所有权标价350万美元。除此之外，买家还会得到butcher所有的个人收藏，包括《蜘蛛侠：火焰之网》32x, 未拆封的neo geo，红白机游戏，《光环：致远星》等等。"
"65","65","我深深地觉得，好心的哥哥你会把我灭口的。q没q群，ebay也不懂弄，人又懒，连拍照都嫌累。。。希望哥哥不要骂我呀"
"66","66","【第三方支付将添外资新丁 ebay难成第一家】7月1日讯，内有商业银行，外有支付公司获牌在即，第三方支付公司将面临更多挑战。据接近监管层人士透露，央行将在“不久后公布获得支付业务许可证的外资公司，最快会在7月内”，但有望拔得头筹的应该不是近期备受关注的ebay。"
"67","67","【以假乱真 850i改装法拉利enzo？】当我在ebay看到这个我就震惊了，刚开始还以为是在卖enzo，仔细一看，5升宝马v12发动机，6速手动变速箱，400匹马力输出，外观方面已经可以和原厂匹敌，真正的高手在民间啊"
"68","68","感谢 @swatcy83 的远程德国ebay代购超级喜欢的蓝狮钥匙扣。这回蓝狮系列圆满了，男鞋，童鞋，鞋模一应俱全@劏猪佬 @达尔莫斯-棋子 @alex陈大宝 @enjoyz足球装备网 @囤囤团团乇乇和米其毛"
"69","69","【调查：即便是二手 iphone的价格仍要高于galaxy】投资银行piper jaffray于今日公布了iphone的转售价值指数。经过对比在ebay上拍卖的iphone 5、iphone 4s、iphone 4、galaxy 3、galaxy note2这5款手机，他们发现，iphone的转售贬值率要低于三星的galaxy手机。"
"70","70","【谷歌眼镜现身美国ebay 竞标价约合94800元】搜索巨头谷歌的硬件设备google glass能让你拍照片、录视频，并能查看信息。如果你想要一个，要不就成为它的开发者；要不就参加谷歌正在举办的一个活动，你得说明一下你会拿glass做什么，然后加上“#ifihadglass”标签发在google+或twitter上。"
"71","71","【第三方支付将添外资新丁 ebay难成第一家】7月1日讯，内有商业银行，外有支付公司获牌在即，第三方支付公司将面临更多挑战。据接近监管层人士透露，央行将在“不久后公布获得支付业务许可证的外资公司，最快会在7月内”，但有望拔得头筹的应该不是近期备受关注的ebay。"
"72","72","给还不知道的童鞋普及一下mac名色candy yum yum:mac在2011年推出限量色candy yum yum荧光粉色唇膏后, 很快被一抢而空,并在ebay被疯炒到一支200美金。终于在2012年底,mac决定把candy yum yum加入永久在店内可以买到的。大家有机会去mac可以试一下这个曾经多少人愿意花200美金买的传奇颜色 -专业化妆师kc"
"73","73","【老款google nexus 7 asus-1b32 32gb tablet 自用很实惠哦$169.99@ebay】 http://t.cn/zqljafn"
"74","74","【谷歌眼镜现身美国ebay 竞标价约合94800元】搜索巨头谷歌的硬件设备google glass能让你拍照片、录视频，并能查看信息。如果你想要一个，要不就成为它的开发者；要不就参加谷歌正在举办的一个活动，你得说明一下你会拿glass做什么，然后加上“#ifihadglass”标签发在google+或twitter上。"
"75","75","【samsung series 7 dp700a7d-s04$929.99@ebay】 http://t.cn/zqlwa1e"
"76","76","前幾個月ebay拍了個barbie叫美國的朋友幫忙帶回來...本來是為了迷你barbie才買的（為毛我想起了殺雞取卵），回來後我莫名的激動，首先實物很好看啊，然後我想起來這是我人生第一隻barbie!!!!! 瞬間回憶起小學辣麼愛barbie但父母不讓買跑別人家去玩的悲催!!!!! 21歲才擁有了的barbie... 嗯嗯"
"77","77","【youtube创始人陈士骏：要过有趣的人生】2005年，陈士骏想从ebay出来做点什么，就去刚刚创建的facebook面试，没找到太多感觉。他满脑子创业想法，而正好他在paypal多年的同事查德一家从西雅图搬回硅谷，查德给他打电话，“嘿，不想做点事吗?”一个工程师和一个设计师，一拍即合。"
"78","78","ebay上有。。。。帮转"
"79","79","【以假乱真 850i改装法拉利enzo？】当我在ebay看到这个我就震惊了，刚开始还以为是在卖enzo，仔细一看，5升宝马v12发动机，6速手动变速箱，400匹马力输出，外观方面已经可以和原厂匹敌，真正的高手在民间啊"
"80","80","回复@凝清嗳:何必，真的让人光火就让淘宝找人刻盘，娘的你们这么封法，最终的结果就是让淘宝上刻盘的卖家有钱赚了 //@凝清嗳:直接上ebay搞dvd review"
"81","81","据国外媒体报道，在第二季度的营收大会上，ebay总裁兼ceo约翰·多纳霍 john donahoe 表示，paypal计划推出pos终端产品。 　　paypal准备移动支付上投下重注。另一家最近推出pos系统的移动支付公司就是杰克·多西 jack dorsey 的square。"
"82","82","肯定有的！什么amazon ebay之类的，或者专门卖电子产品的网站"
"83","83","美发产品暴利啊！晚上美发师推荐的一款意大利品牌护发精华套盒报价一千一百九赠送头部按摩，我顶住压力没被说服，回家在淘宝上查，报价从一百六到两百六不等，于是想这会不会是假的啊，转战欧洲药妆网店和德国ebay amazon，原来原价才十一欧折人民币九十几啊！！姐姐我的钱大风吹来的吗？赚钱多难啊！"
"84","84","再吐槽一下这次奥巴马政府驳回itc对苹果产品禁令的后果:短期后果是标准专利的贬值。对企业的专利战略也会有长期影响。自几年前的ebay案子以来，禁令在地方法院已经很难拿了。上次苹果在北加州也没拿到，今天是上诉听证会的日子，如果再拿不到禁令的话那专利的排他性就大打折扣基本上是一纸空文了。"
"85","85","【黑莓z10在ebay网站最高拍卖价达1775美元】2月2日消息，据国外媒体报道，黑莓公司的z10智能手机目前在ebay网站的最高拍卖价格已达到1775美元，这也表明这款设备在美国市场的初期需求非常旺盛。按照计划，z10将于今年3月在美国市场发售。"
"86","86","【微软被曝曾考虑推电商服务挑战亚马逊和ebay】6月21日讯，微软曾计划使电子商务市场成为windows操作系统，以及包括xbox游戏机、运行windows的智能手机和平板电脑的一部分。但微软最近表示已经中止了推出电子商务服务的努力。"
"87","87","《paypal在英测试“人脸识别”支付，你敢用吗？》 全球最大的网上支付公司、ebay旗下paypal宣布，日前其在英国伦敦泰晤士河畔的里士满区的12家商场推出依靠“人脸识别”的支付系统。 在这一智能支付系统下，购物者使用paypal面向ios、... 来自@风控爱好者 的帖子 http://t.cn/zqlshx2"
"88","88","air jordan 1 high – white/black sample on ebay纯白的比较难见。"
"89","89","全球最大的网上支付公司、ebay旗下paypal宣布，日前其在英国伦敦泰晤士河畔的里士满区的12家商场推出依靠“人脸识别”的支付系统。 在这一智能支付系统下，购物者使用paypal面向ios、android和windows phone提供的移动应用，可以在它们的手机上看到附近的商场。用户... http://t.cn/zqlshx2"
"90","90","【美国29岁男子出售游戏商店 标价350万美元】一位居住在佛罗里达的男子在ebay上为自己所拥有的三家游戏商店以及房屋，汽车和收藏品的所有权标价350万美元。除此之外，买家还会得到butcher所有的个人收藏，包括《蜘蛛侠：火焰之网》32x, 未拆封的neo geo，红白机游戏，《光环：致远星》等等。"
"91","91","ebay.de"
"92","92","网传中关村开卖谷歌眼 走访少数商家接受预订 - 东方网-东方财经-网传中关村开卖谷歌眼 走访少数商家接受预订-谷歌 接受预订 商家 开发者 开卖 智能手机 喊价 外媒 鼎好 ebay http://t.cn/zqlikfv"
"93","93","【暴雪员工纪念纪念剑盾 网上拍卖12万人民币】在暴雪干5年和10年会分别获得一把长剑和一枚盾牌，分别刻有员工的姓名。近日这两件纪念品被人放在ebay上拍卖，开价达19999美元(约12万人民币)。盾的重量约5.45公斤，剑约3.18公斤。由于编号和私密性，还从未被公开出售过。"
"94","94","偷时间和从文具柜里偷东西是一样糟糕的。你可能会觉得我只是在ebay、flickr和youtube上花了一个钟头而已——但那真的会让你的同事发疯的。你你如果花在更有意义的工作上，对工作效率会有相当大的提升。"
"95","95","#主线任务# 今个又涨姿势了，有些罕见老照片电子版居然还能在ebay上搜到，真是业界良心… p.s.配图，美国防部首任、二任部长，反对杜鲁门削减国防预算的詹姆斯·福莱斯特、执行杜鲁门削减国防预算的路易斯·约翰逊…"
"96","96","请输入转发理由ebay旗下的paypal近日他们推出了依靠“人脸识别”的支付系统。"
"97","97","橙色夏日，nike air force 1 low “armory slate & orange”本鞋款将于8月10日正式上架，但心急的朋友可以登录ebay进行购买。"
"98","98","『缘定七夕、唱响ebay』这是来公司的第一个活动、玩得很嗨、吃得很嗨、平台部加油、美国a组加油、a2小组加油、你们这群可爱的人儿、第一份工作、以后用来回忆、"
"99","99","2006年愚人节，本尼斯在ebay上宣布出售一具“妖精”的遗骸，他在接受bbc采访时说：“我收到了各种各样的邮件，其中有人说他们曾经看过完全相同的东西，还有一个人命令我立即把‘遗骸’交还到墓地，否则后果自负。”"
"100","100","【以假乱真850i改装法拉利enzo？】当我在ebay看到这个我就震惊了，刚开始还以为是在卖enzo，仔细一看，5升宝马v12发动机，6速手动变速箱，400匹马力输出，外观方面已经可以和原厂匹敌，真正的高手在民间啊"
"101","101","#随手拍#找了好多網站才買到這本...2007年出版的,密林沒貨,ebay上也沒了...輾轉了好多終於在國內一個賣舊書的找到...可惜還是摸不到啊!娘幫我收了還拍了照片給我看...真想現在就看起來...qaq作為一個snape教授飯一定要仔細研讀!"
"102","102","wil fry portrait of ian connor shorts ebay上已经炒到特别高了 短裤 现货s码一条 懂的来买吧！"
"103","103","【暴雪员工纪念纪念剑盾 网上拍卖12万人民币】在暴雪干5年和10年会分别获得一把长剑和一枚盾牌，分别刻有员工的姓名。近日这两件纪念品被人放在ebay上拍卖，开价达19999美元(约12万人民币)。盾的重量约5.45公斤，剑约3.18公斤。由于编号和私密性，还从未被公开出售过。"
"104","104","【以假乱真 850i改装法拉利enzo？】当我在ebay看到这个我就震惊了，刚开始还以为是在卖enzo，仔细一看，5升宝马v12发动机，6速手动变速箱，400匹马力输出，外观方面已经可以和原厂匹敌，真正的高手在民间啊"
"105","105","【调查：即便是二手 iphone的价格仍要高于galaxy】投资银行piper jaffray于今日公布了iphone的转售价值指数。经过对比在ebay上拍卖的iphone 5、iphone 4s、iphone 4、galaxy 3、galaxy note2这5款手机，他们发现，iphone的转售贬值率要低于三星的galaxy手机。"
"106","106","2006年愚人节，本尼斯在ebay上宣布出售一具“妖精”的遗骸，他在接受bbc采访时说：“我收到了各种各样的邮件，其中有人说他们曾经看过完全相同的东西，还有一个人命令我立即把‘遗骸’交还到墓地，否则后果自负。”"
"107","107","wal-mart用最新的条形码和信息技术打败了当时还热衷于传统扩展兼并，对信息技术尚不敏感的kmart。但wal-mart对互联网电商的迟钝让亚马逊，ebay等迅速成长起来。对于传统零售商来讲，信息技术并不能保证其成为伟大的公司，但需要对信息技术保持开发、拥抱的态度，让信息技术在传统行业发挥最大价值。"
"108","108","【阿里纪录片：扬子江大鳄】前阿里巴巴外籍员工porter，2年时间剪辑大作。独家揭秘阿里巴巴早期的艰难生存经历，淘宝与ebay的生死之谜。马云的心路历程，辛酸苦辣，所有资料首次公映！马云观后点评： “一部最真实、最能反映阿里巴巴历程的纪录片，每个阿里人都值得一看！” http://t.cn/zqak6ss"
"109","109","生活里应该有着些许的奔头，ebay，我应该接受挑战吧，哪怕3个个月后，是成功？是失败？至少我要尝试过……谢谢您给了这么一个平台 我在这里:http://t.cn/zhemecn"
"110","110","//@徐雷-xl:第一点应该不准确，当年ebay签的是年度排他协议，不是随时都可以投放的。协议到期后，门户网站的投放陆续撕开口子。"
"111","111","第一点应该不准确，当年ebay签的是年度排他协议，不是随时都可以投放的。协议到期后，门户网站的投放陆续撕开口子。"
"112","112","【ebay为零售商推出数据平台】一直鼓吹big data大数据的的ebay inc.今天终于将为广大零售商推出相关服务了，一个在平板电脑上线的retail associate platform零售辅助平台将帮助ebay商家建立消费者数据。该应用将采取收费模式。http://t.cn/zqwtocs"
"113","113","我在三年前，一个朋友叫我在ebay或速卖通上卖电子产品，说在华强北随便拿车载导航，然后加上几百块钱放上去，一天卖一台就够了，当时不知道其它市场是怎么样，不相信这样子也能赚钱，如今，老外确实能接受这样的价格，很多事情按照我们的三观，是无法赚钱的！"
"114","114","[1/2]伊隆·马斯克（elon musk）正成为硅谷另一个 被膜拜的对象：1995年，创立媒体服务软件公 司zip2，其后以3亿美元价格出售给康柏公司； 1998年创立paypal，后15亿卖给ebay；2002 年创办航天技术公司spacex，成功发射史上第 一艘和国际空间站对接的私人公司飞船；2003 年创办特斯拉，如今市值超过10"
"115","115","琴姐，说我不懂得把握机会，可是对着那个ebay，我就头大了…… 我在:竹子林五路"
"116","116","【以假乱真 850i改装法拉利enzo？】当我在ebay看到这个我就震惊了，刚开始还以为是在卖enzo，仔细一看，5升宝马v12发动机，6速手动变速箱，400匹马力输出，外观方面已经可以和原厂匹敌，真正的高手在民间啊"
"117","117","【ipad太爷爷透明newton 110在ebay销售】　日前在 ebay 有一名卖家在销售一款透明版本 newton。这款透明的 apple newton 110 比起当年在市场上销售的版本来说更稀有。透明 newton 其实是苹果在当年的某场 apple conference 上赠送给开发者的限量版本。"
"118","118","【谷歌眼镜现身ebay 竞价超过人民币56.7万元】你既不是谷歌眼镜的开发者，也不是谷歌 #ifihadglass活动中的赢家，所以你只能等待谷歌眼镜的正式发布了，对不对？也许还有其他办法哦。如果你有钱，你就可以在ebay网站上买下这件眼镜了，虽然现在这件眼镜的竞价已超过90，000美元（约人民币56.7万元）。"
