"","x"
"49","【谷歌眼镜现身eBay 竞价超过人民币56.7万元】你既不是谷歌眼镜的开发者，也不是谷歌 #ifihadglass活动中的赢家，所以你只能等待谷歌眼镜的正式发布了，对不对？也许还有其他办法哦。如果你有钱，你就可以在eBay网站上买下这件眼镜了，虽然现在这件眼镜的竞价已超过90，000美元（约人民币56.7万元）。"
"50","个人选择权得到极大尊重：anytime（任何时间）、anywhere（任何地点）、anyway（任何方式）三个any赋予互联网新的定义，人们希望能够在任何时间、任何地点以任何方式办公、消费或娱 乐，用户行为发生了深刻的变革。//【移动变革商业：Ebay投资研究报告】  http://t.cn/zQjZ6nk ( 分享自 @鲜果联播 )"
"51","FR大神据说要在EBAY开卖修罗王了……9.5英寸高"
"52","【第三方支付将添外资新丁 eBay难成第一家】7月1日讯，内有商业银行，外有支付公司获牌在即，第三方支付公司将面临更多挑战。据接近监管层人士透露，央行将在“不久后公布获得支付业务许可证的外资公司，最快会在7月内”，但有望拔得头筹的应该不是近期备受关注的eBay。"
"53","Just sold my laptop 650$ on EBay PayPal charge 20$ and eBay charge 65$ WTF why you charge me so much money@Ebay  我在:Ashley River Rd"
"54","eBay总裁多纳霍：我们绝不会成为零售商 http://t.cn/zQjhwMM"
"55","【PayPal在英国测试“人脸识别”支付系统】全球最大的网上支付公司、eBay旗下PayPal宣布，日前其在英国伦敦泰晤士河畔的里士满区的12家商场推出依靠“人脸识别”的支付系统。”　　尽管当前只有十多家零售商正在使用这一测试服务，但PayPal （分享自 @凤凰科技） http://t.cn/zQjPgbS"
"56","@李晨曦太多了 辛苦了多久终于收起了，光我手里还剩这么多，ebay售起，求好运 我在:Douglas Drive"
"57","【YouTube创始人陈士骏：要过有趣的人生】2005年，陈士骏想从eBay出来做点什么，就去刚刚创建的Facebook面试，没找到太多感觉。他满脑子创业想法，而正好他在Paypal多年的同事查德一家从西雅图搬回硅谷，查德给他打电话，“嘿，不想做点事吗?”一个工程师和一个设计师，一拍即合。"
"58","【YouTube创始人陈士骏：要过有趣的人生】2005年，陈士骏想从eBay出来做点什么，就去刚刚创建的Facebook面试，没找到太多感觉。他满脑子创业想法，而正好他在Paypal多年的同事查德一家从西雅图搬回硅谷，查德给他打电话，“嘿，不想做点事吗?”一个工程师和一个设计师，一拍即合。"
"59","BCBGMAXAZRIA amber long dress ebay retail price around $110"
"60","ebay上买了一个佳能的55-250的长焦，加上原来的18-55套头和50/1.8的痰盂头，终于凑齐了穷人三宝。"
"61","【谷歌眼镜现身eBay 竞价超过人民币56.7万元】你既不是谷歌眼镜的开发者，也不是谷歌 #ifihadglass活动中的赢家，所以你只能等待谷歌眼镜的正式发布了，对不对？也许还有其他办法哦。如果你有钱，你就可以在eBay网站上买下这件眼镜了，虽然现在这件眼镜的竞价已超过90，000美元（约人民币56.7万元）。"
"62","【天价改装458Italia流拍 轮圈价值百万美金】迈阿密改装品牌Latitude Wheels的一台改装法拉利458 Italia几周前被放到eBay拍卖，拍价近130万美元。而一台原厂458售价不过23万美金而已。Latitude称将车拍到如此高价是因此车轮圈就价值100万美元，但还是最终流拍了。"
"63","到处找不到帮羽毛球拍拉线的地方，看来羽毛球在这真是边缘运动。Ebay上有拉线的工具，最便宜的近200刀，好的400多刀，想想有必要吗？"
"64","【美国29岁男子出售游戏商店 标价350万美元】一位居住在佛罗里达的男子在ebay上为自己所拥有的三家游戏商店以及房屋，汽车和收藏品的所有权标价350万美元。除此之外，买家还会得到Butcher所有的个人收藏，包括《蜘蛛侠：火焰之网》32X, 未拆封的Neo Geo，红白机游戏，《光环：致远星》等等。"
"65","我深深地觉得，好心的哥哥你会把我灭口的。Q没Q群，ebay也不懂弄，人又懒，连拍照都嫌累。。。希望哥哥不要骂我呀"
"66","【第三方支付将添外资新丁 eBay难成第一家】7月1日讯，内有商业银行，外有支付公司获牌在即，第三方支付公司将面临更多挑战。据接近监管层人士透露，央行将在“不久后公布获得支付业务许可证的外资公司，最快会在7月内”，但有望拔得头筹的应该不是近期备受关注的eBay。"
"67","【以假乱真 850i改装法拉利Enzo？】当我在ebay看到这个我就震惊了，刚开始还以为是在卖Enzo，仔细一看，5升宝马V12发动机，6速手动变速箱，400匹马力输出，外观方面已经可以和原厂匹敌，真正的高手在民间啊"
"68","感谢 @swatcy83 的远程德国ebay代购超级喜欢的蓝狮钥匙扣。这回蓝狮系列圆满了，男鞋，童鞋，鞋模一应俱全@劏猪佬 @达尔莫斯-棋子 @Alex陈大宝 @ENJOYZ足球装备网 @囤囤团团乇乇和米其毛"
"69","【调查：即便是二手 iPhone的价格仍要高于Galaxy】投资银行Piper Jaffray于今日公布了iPhone的转售价值指数。经过对比在eBay上拍卖的iPhone 5、iPhone 4S、iPhone 4、Galaxy 3、Galaxy Note2这5款手机，他们发现，iPhone的转售贬值率要低于三星的Galaxy手机。"
"70","【谷歌眼镜现身美国eBay 竞标价约合94800元】搜索巨头谷歌的硬件设备Google Glass能让你拍照片、录视频，并能查看信息。如果你想要一个，要不就成为它的开发者；要不就参加谷歌正在举办的一个活动，你得说明一下你会拿Glass做什么，然后加上“#ifihadglass”标签发在Google+或Twitter上。"
"71","【第三方支付将添外资新丁 eBay难成第一家】7月1日讯，内有商业银行，外有支付公司获牌在即，第三方支付公司将面临更多挑战。据接近监管层人士透露，央行将在“不久后公布获得支付业务许可证的外资公司，最快会在7月内”，但有望拔得头筹的应该不是近期备受关注的eBay。"
"72","给还不知道的童鞋普及一下MAC名色Candy Yum Yum:MAC在2011年推出限量色Candy Yum Yum荧光粉色唇膏后, 很快被一抢而空,并在EBAY被疯炒到一支200美金。终于在2012年底,MAC决定把Candy Yum Yum加入永久在店内可以买到的。大家有机会去MAC可以试一下这个曾经多少人愿意花200美金买的传奇颜色 -专业化妆师KC"
"73","【老款Google Nexus 7 ASUS-1B32 32GB Tablet 自用很实惠哦$169.99@ebay】 http://t.cn/zQljaFN"
"74","【谷歌眼镜现身美国eBay 竞标价约合94800元】搜索巨头谷歌的硬件设备Google Glass能让你拍照片、录视频，并能查看信息。如果你想要一个，要不就成为它的开发者；要不就参加谷歌正在举办的一个活动，你得说明一下你会拿Glass做什么，然后加上“#ifihadglass”标签发在Google+或Twitter上。"
"75","【Samsung Series 7 DP700A7D-S04$929.99@ebay】 http://t.cn/zQlWa1e"
"76","前幾個月ebay拍了個barbie叫美國的朋友幫忙帶回來...本來是為了迷你barbie才買的（為毛我想起了殺雞取卵），回來後我莫名的激動，首先實物很好看啊，然後我想起來這是我人生第一隻barbie!!!!! 瞬間回憶起小學辣麼愛barbie但父母不讓買跑別人家去玩的悲催!!!!! 21歲才擁有了的barbie... 嗯嗯"
"77","【YouTube创始人陈士骏：要过有趣的人生】2005年，陈士骏想从eBay出来做点什么，就去刚刚创建的Facebook面试，没找到太多感觉。他满脑子创业想法，而正好他在Paypal多年的同事查德一家从西雅图搬回硅谷，查德给他打电话，“嘿，不想做点事吗?”一个工程师和一个设计师，一拍即合。"
"78","EBAY上有。。。。帮转"
"79","【以假乱真 850i改装法拉利Enzo？】当我在ebay看到这个我就震惊了，刚开始还以为是在卖Enzo，仔细一看，5升宝马V12发动机，6速手动变速箱，400匹马力输出，外观方面已经可以和原厂匹敌，真正的高手在民间啊"
"80","回复@凝清嗳:何必，真的让人光火就让淘宝找人刻盘，娘的你们这么封法，最终的结果就是让淘宝上刻盘的卖家有钱赚了 //@凝清嗳:直接上Ebay搞DVD Review"
"81","据国外媒体报道，在第二季度的营收大会上，eBay总裁兼CEO约翰·多纳霍 John Donahoe 表示，Paypal计划推出POS终端产品。 　　Paypal准备移动支付上投下重注。另一家最近推出POS系统的移动支付公司就是杰克·多西 Jack Dorsey 的Square。"
"82","肯定有的！什么Amazon ebay之类的，或者专门卖电子产品的网站"
"83","美发产品暴利啊！晚上美发师推荐的一款意大利品牌护发精华套盒报价一千一百九赠送头部按摩，我顶住压力没被说服，回家在淘宝上查，报价从一百六到两百六不等，于是想这会不会是假的啊，转战欧洲药妆网店和德国ebay amazon，原来原价才十一欧折人民币九十几啊！！姐姐我的钱大风吹来的吗？赚钱多难啊！"
"84","再吐槽一下这次奥巴马政府驳回ITC对苹果产品禁令的后果:短期后果是标准专利的贬值。对企业的专利战略也会有长期影响。自几年前的eBay案子以来，禁令在地方法院已经很难拿了。上次苹果在北加州也没拿到，今天是上诉听证会的日子，如果再拿不到禁令的话那专利的排他性就大打折扣基本上是一纸空文了。"
"85","【黑莓Z10在eBay网站最高拍卖价达1775美元】2月2日消息，据国外媒体报道，黑莓公司的Z10智能手机目前在eBay网站的最高拍卖价格已达到1775美元，这也表明这款设备在美国市场的初期需求非常旺盛。按照计划，Z10将于今年3月在美国市场发售。"
"86","【微软被曝曾考虑推电商服务挑战亚马逊和eBay】6月21日讯，微软曾计划使电子商务市场成为Windows操作系统，以及包括Xbox游戏机、运行Windows的智能手机和平板电脑的一部分。但微软最近表示已经中止了推出电子商务服务的努力。"
"87","《PayPal在英测试“人脸识别”支付，你敢用吗？》 全球最大的网上支付公司、eBay旗下PayPal宣布，日前其在英国伦敦泰晤士河畔的里士满区的12家商场推出依靠“人脸识别”的支付系统。 在这一智能支付系统下，购物者使用PayPal面向iOS、... 来自@风控爱好者 的帖子 http://t.cn/zQlSHx2"
"88","Air Jordan 1 High – White/Black Sample on eBay纯白的比较难见。"
"89","全球最大的网上支付公司、eBay旗下PayPal宣布，日前其在英国伦敦泰晤士河畔的里士满区的12家商场推出依靠“人脸识别”的支付系统。 在这一智能支付系统下，购物者使用PayPal面向iOS、Android和Windows Phone提供的移动应用，可以在它们的手机上看到附近的商场。用户... http://t.cn/zQlSHx2"
"90","【美国29岁男子出售游戏商店 标价350万美元】一位居住在佛罗里达的男子在ebay上为自己所拥有的三家游戏商店以及房屋，汽车和收藏品的所有权标价350万美元。除此之外，买家还会得到Butcher所有的个人收藏，包括《蜘蛛侠：火焰之网》32X, 未拆封的Neo Geo，红白机游戏，《光环：致远星》等等。"
"91","ebay.de"
"92","网传中关村开卖谷歌眼 走访少数商家接受预订 - 东方网-东方财经-网传中关村开卖谷歌眼 走访少数商家接受预订-谷歌 接受预订 商家 开发者 开卖 智能手机 喊价 外媒 鼎好 eBay http://t.cn/zQlikFv"
"93","【暴雪员工纪念纪念剑盾 网上拍卖12万人民币】在暴雪干5年和10年会分别获得一把长剑和一枚盾牌，分别刻有员工的姓名。近日这两件纪念品被人放在ebay上拍卖，开价达19999美元(约12万人民币)。盾的重量约5.45公斤，剑约3.18公斤。由于编号和私密性，还从未被公开出售过。"
"94","偷时间和从文具柜里偷东西是一样糟糕的。你可能会觉得我只是在eBay、Flickr和Youtube上花了一个钟头而已——但那真的会让你的同事发疯的。你你如果花在更有意义的工作上，对工作效率会有相当大的提升。"
"95","#主线任务# 今个又涨姿势了，有些罕见老照片电子版居然还能在ebay上搜到，真是业界良心… P.S.配图，美国防部首任、二任部长，反对杜鲁门削减国防预算的詹姆斯·福莱斯特、执行杜鲁门削减国防预算的路易斯·约翰逊…"
"96","请输入转发理由eBay旗下的PayPal近日他们推出了依靠“人脸识别”的支付系统。"
"97","橙色夏日，Nike Air Force 1 Low “Armory Slate & Orange”本鞋款将于8月10日正式上架，但心急的朋友可以登录ebay进行购买。"
"98","『缘定七夕、唱响ebay』这是来公司的第一个活动、玩得很嗨、吃得很嗨、平台部加油、美国A组加油、A2小组加油、你们这群可爱的人儿、第一份工作、以后用来回忆、"
"99","2006年愚人节，本尼斯在eBay上宣布出售一具“妖精”的遗骸，他在接受BBC采访时说：“我收到了各种各样的邮件，其中有人说他们曾经看过完全相同的东西，还有一个人命令我立即把‘遗骸’交还到墓地，否则后果自负。”"
"100","【以假乱真850i改装法拉利Enzo？】当我在ebay看到这个我就震惊了，刚开始还以为是在卖Enzo，仔细一看，5升宝马V12发动机，6速手动变速箱，400匹马力输出，外观方面已经可以和原厂匹敌，真正的高手在民间啊"
"101","#随手拍#找了好多網站才買到這本...2007年出版的,密林沒貨,ebay上也沒了...輾轉了好多終於在國內一個賣舊書的找到...可惜還是摸不到啊!娘幫我收了還拍了照片給我看...真想現在就看起來...QAQ作為一個Snape教授飯一定要仔細研讀!"
"102","Wil fry portrait of IAN CONNOR SHORTS ebay上已经炒到特别高了 短裤 现货s码一条 懂的来买吧！"
"103","【暴雪员工纪念纪念剑盾 网上拍卖12万人民币】在暴雪干5年和10年会分别获得一把长剑和一枚盾牌，分别刻有员工的姓名。近日这两件纪念品被人放在ebay上拍卖，开价达19999美元(约12万人民币)。盾的重量约5.45公斤，剑约3.18公斤。由于编号和私密性，还从未被公开出售过。"
"104","【以假乱真 850i改装法拉利Enzo？】当我在ebay看到这个我就震惊了，刚开始还以为是在卖Enzo，仔细一看，5升宝马V12发动机，6速手动变速箱，400匹马力输出，外观方面已经可以和原厂匹敌，真正的高手在民间啊"
"105","【调查：即便是二手 iPhone的价格仍要高于Galaxy】投资银行Piper Jaffray于今日公布了iPhone的转售价值指数。经过对比在eBay上拍卖的iPhone 5、iPhone 4S、iPhone 4、Galaxy 3、Galaxy Note2这5款手机，他们发现，iPhone的转售贬值率要低于三星的Galaxy手机。"
"106","2006年愚人节，本尼斯在eBay上宣布出售一具“妖精”的遗骸，他在接受BBC采访时说：“我收到了各种各样的邮件，其中有人说他们曾经看过完全相同的东西，还有一个人命令我立即把‘遗骸’交还到墓地，否则后果自负。”"
"107","Wal-mart用最新的条形码和信息技术打败了当时还热衷于传统扩展兼并，对信息技术尚不敏感的Kmart。但Wal-mart对互联网电商的迟钝让亚马逊，Ebay等迅速成长起来。对于传统零售商来讲，信息技术并不能保证其成为伟大的公司，但需要对信息技术保持开发、拥抱的态度，让信息技术在传统行业发挥最大价值。"
"108","【阿里纪录片：扬子江大鳄】前阿里巴巴外籍员工porter，2年时间剪辑大作。独家揭秘阿里巴巴早期的艰难生存经历，淘宝与ebay的生死之谜。马云的心路历程，辛酸苦辣，所有资料首次公映！马云观后点评： “一部最真实、最能反映阿里巴巴历程的纪录片，每个阿里人都值得一看！” http://t.cn/zQAk6sS"
"109","生活里应该有着些许的奔头，ebay，我应该接受挑战吧，哪怕3个个月后，是成功？是失败？至少我要尝试过……谢谢您给了这么一个平台 我在这里:http://t.cn/zHeMECN"
"110","//@徐雷-XL:第一点应该不准确，当年ebay签的是年度排他协议，不是随时都可以投放的。协议到期后，门户网站的投放陆续撕开口子。"
"111","第一点应该不准确，当年ebay签的是年度排他协议，不是随时都可以投放的。协议到期后，门户网站的投放陆续撕开口子。"
"112","【eBay为零售商推出数据平台】一直鼓吹Big Data大数据的的eBay Inc.今天终于将为广大零售商推出相关服务了，一个在平板电脑上线的Retail Associate Platform零售辅助平台将帮助eBay商家建立消费者数据。该应用将采取收费模式。http://t.cn/zQWtOcs"
"113","我在三年前，一个朋友叫我在ebay或速卖通上卖电子产品，说在华强北随便拿车载导航，然后加上几百块钱放上去，一天卖一台就够了，当时不知道其它市场是怎么样，不相信这样子也能赚钱，如今，老外确实能接受这样的价格，很多事情按照我们的三观，是无法赚钱的！"
"114","[1/2]伊隆·马斯克（Elon Musk）正成为硅谷另一个 被膜拜的对象：1995年，创立媒体服务软件公 司Zip2，其后以3亿美元价格出售给康柏公司； 1998年创立PayPal，后15亿卖给ebay；2002 年创办航天技术公司SpaceX，成功发射史上第 一艘和国际空间站对接的私人公司飞船；2003 年创办特斯拉，如今市值超过10"
"115","琴姐，说我不懂得把握机会，可是对着那个ebay，我就头大了…… 我在:竹子林五路"
"116","【以假乱真 850i改装法拉利Enzo？】当我在ebay看到这个我就震惊了，刚开始还以为是在卖Enzo，仔细一看，5升宝马V12发动机，6速手动变速箱，400匹马力输出，外观方面已经可以和原厂匹敌，真正的高手在民间啊"
"117","【iPad太爷爷透明Newton 110在eBay销售】　日前在 eBay 有一名卖家在销售一款透明版本 Newton。这款透明的 Apple Newton 110 比起当年在市场上销售的版本来说更稀有。透明 Newton 其实是苹果在当年的某场 Apple Conference 上赠送给开发者的限量版本。"
"118","【谷歌眼镜现身eBay 竞价超过人民币56.7万元】你既不是谷歌眼镜的开发者，也不是谷歌 #ifihadglass活动中的赢家，所以你只能等待谷歌眼镜的正式发布了，对不对？也许还有其他办法哦。如果你有钱，你就可以在eBay网站上买下这件眼镜了，虽然现在这件眼镜的竞价已超过90，000美元（约人民币56.7万元）。"
